DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
(2820,219),10.89,3618,3618,,,9.7,3.11,2.81,,3637,3115,2968,,,7.72,6.93,6.72,,,21972,23733,24389
(4980,190),10.57,3626,3626,,,9.7,3.14,2.81,,3637,3118,2968,,,7.75,6.98,6.77,,,21972,23733,24389
(1370,243),11.37,3629,3629,,,9.76,3.15,2.83,,3637,3123,2969,,,7.81,7.03,6.79,,,21988,23733,24389
(1676,252),10.03,3564,3564,,,9.8,3.17,2.84,,3639,3123,2969,,,7.86,7.04,6.79,,,21988,23744,24389
(3274,250),10.84,3577,3577,,,9.84,3.17,2.86,,3639,3123,2970,,,7.92,7.04,6.85,,,21989,23744,24389
(3166,246),7.49,3605,3605,,,9.87,3.2,2.88,,3639,3124,2970,,,7.92,7.07,6.86,,,21996,23747,24403
(1041,252),9.7,3563,3563,,,9.93,3.23,2.9,,3639,3170,2971,,,7.95,7.09,6.91,,,21996,23747,24403
(2423,245),9.47,3639,3639,,,9.98,3.27,2.9,,3639,3171,2972,,,7.98,7.09,6.94,,,21996,23747,24403
(3823,159),8.75,3672,3672,,,9.98,3.32,2.94,,3639,3171,2972,,,7.99,7.15,7.05,,,21996,23747,24413
(3441,207),6.94,3640,3640,,,9.98,3.34,2.98,,3639,3203,2977,,,8.06,7.16,7.15,,,21997,23747,24413
(2340,246),6.96,3604,3604,,,10.03,3.43,3,,3640,3203,2978,,,8.07,7.19,7.21,,,21997,23748,24413
(4218,187),5.19,3633,3633,,,10.2,3.51,3.01,,3640,3203,2978,,,8.16,7.22,7.3,,,22000,23748,24417
(1957,252),9.8,3564,3564,,,10.34,3.51,3.01,,3641,3204,2978,,,8.3,7.24,7.32,,,22052,23748,24417
(4495,187),6.47,3632,3632,,,10.38,3.52,3.04,,3641,3290,2978,,,8.33,7.25,7.35,,,22052,23748,24417
